"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BA","220","Business Prof Dev II","2785","Business Administration Admini","92","6","3","1","0","0","0","0","0","0","0","0","0","0","0","0","Lord, Morgan","102"
"BHIS","504","Qualitative Methods","2318","Biomed & Health Info Sciences","4","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Czart, Margaret B","10"
"BIOS","104","Biology for Non-majors","2453","Biological Sciences","78","37","23","12","1","0","0","0","0","0","0","0","0","0","0","6","Muller, Michael T","157"
"BIOS","420","Genomics","2453","Biological Sciences","23","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Lynch, Jeremy A","24"
"BIOS","430","Evolution","2453","Biological Sciences","23","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Walker, Joseph","30"
"BLST","103","U.S. Black Politics & Culture","2363","Black Studies","17","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","19"
"BME","101","Intro Biomedical Engineering","2437","Biomedical Eng - Engineering","52","19","9","6","7","0","0","0","1","0","0","0","0","0","0","5","Wang, Zhinan","99"
"BME","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","25","18","3","0","0","0","0","0","0","0","0","0","0","0","0","2","Avanaki, Kamran","48"
"BME","250","Clinical Problems Biomed Eng","2437","Biomedical Eng - Engineering","21","14","10","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","45"
"ACTG","446","Federal Income Tax II","2656","Accounting","41","30","17","0","3","0","0","0","0","0","0","0","0","0","0","0","Savoy, Steven J","91"
"AHS","304","Sexuality and Health","2797","Applied Health Sciences Admin","33","12","4","0","1","0","0","0","0","0","0","0","0","0","0","0","Bengtsson, Helene Strange","50"
"ARCH","414","Contemporary Practices","2911","School of Architecture","3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dunn, Sarah E","13"
"ARCH","440","Digital Design and Fabrication","2911","School of Architecture","3","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Bair, Kelly","11"
"ARCH","553","Architectural Design III","2911","School of Architecture","6","16","0","0","0","0","0","0","2","0","0","0","0","0","0","1","Dunn, Sarah E","25"
"ARCH","565","Topic Studio","2911","School of Architecture","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Andersen, Paul","12"
"ART","150","Intro to New Media(Major Only)","2583","Art","16","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Moore, Dante","19"
"ART","160","Intro:Digital Photo-Major Only","2583","Art","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","1","Mueller, Eileen","20"
"ART","280","Topics in Color","2583","Art","15","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Metzger, Matthew John","18"
"BA","101","Business First-Year Seminar","2785","Business Administration Admini","187","40","21","9","36","0","0","0","0","0","0","0","0","0","0","4","Ross, Clifton","297"
"BA","190","UIC Business Seminar Program","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","0","0","0","183","0","1","Sanchez, Mayra","184"
"BA","220","Business Prof Dev II","2785","Business Administration Admini","107","10","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Rodriguez, Paul","120"
